,EmployeeNumber,Age,Gender,MaritalStatus,EducationField,Department,JobLevel,MonthlyIncome,NumCompaniesWorked,OverTime,PerformanceRating,PercentSalaryHike,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,Attrition
44,57,30,Female,Single,Medical,Research & Development,2,4011,1,No,4,23,12,12,8,No
45,58,41,Female,Married,Technical Degree,Research & Development,5,19545,1,No,3,12,23,22,15,Yes
46,60,34,Male,Single,Marketing,Sales,2,4568,0,No,4,20,10,9,5,No
47,61,37,Male,Married,Life Sciences,Research & Development,1,3022,4,No,4,21,8,1,0,No
48,62,46,Male,Single,Marketing,Sales,2,5772,4,Yes,4,21,14,9,6,No
49,63,35,Male,Married,Life Sciences,Research & Development,1,2269,1,No,3,19,1,1,0,No
50,64,48,Male,Single,Life Sciences,Research & Development,3,5381,9,Yes,3,13,23,1,0,Yes
51,65,28,Male,Single,Technical Degree,Research & Development,1,3441,1,Yes,3,13,2,2,2,Yes
52,68,44,Female,Divorced,Marketing,Sales,2,5454,5,Yes,4,21,9,4,3,No
53,70,35,Male,Married,Medical,Research & Development,3,9884,2,Yes,3,13,10,4,0,No
54,72,26,Female,Married,Marketing,Sales,2,4157,7,Yes,3,19,5,2,2,No
55,73,33,Female,Single,Life Sciences,Research & Development,3,13458,1,Yes,3,12,15,15,14,No
56,74,35,Male,Married,Life Sciences,Sales,3,9069,1,No,4,22,9,9,8,No
57,75,35,Female,Married,Medical,Research & Development,1,4014,3,Yes,3,15,4,2,2,No
58,76,31,Male,Divorced,Life Sciences,Research & Development,2,5915,3,No,4,22,10,7,7,No
59,77,37,Male,Divorced,Life Sciences,Research & Development,2,5993,1,No,3,18,7,7,5,No
60,78,32,Male,Married,Medical,Research & Development,2,6162,1,Yes,4,22,9,9,8,No
61,79,38,Female,Single,Life Sciences,Research & Development,2,2406,1,No,3,11,10,10,3,No
62,80,50,Female,Divorced,Medical,Research & Development,5,18740,5,Yes,3,12,29,27,3,No
63,81,59,Female,Single,Life Sciences,Sales,3,7637,7,No,3,11,28,21,16,No
64,83,36,Female,Divorced,Technical Degree,Research & Development,3,10096,1,No,3,13,17,17,14,No
65,84,55,Female,Divorced,Medical,Research & Development,4,14756,2,Yes,3,14,21,5,0,No
66,85,36,Male,Single,Life Sciences,Research & Development,2,6499,1,No,3,13,6,6,5,No
67,86,45,Male,Divorced,Life Sciences,Research & Development,3,9724,2,No,3,17,25,1,0,No
68,88,35,Male,Married,Medical,Research & Development,1,2194,4,No,3,13,5,3,2,No
69,90,36,Male,Married,Medical,Research & Development,1,3388,0,Yes,3,17,2,1,0,Yes
70,91,59,Female,Single,Life Sciences,Sales,2,5473,7,No,3,11,20,4,3,No
71,94,29,Male,Married,Life Sciences,Research & Development,1,2703,0,No,4,23,6,5,4,No
72,95,31,Male,Single,Medical,Research & Development,1,2501,1,No,3,17,1,1,1,No
73,96,32,Male,Married,Life Sciences,Research & Development,2,6220,1,No,3,17,10,10,4,No
74,97,36,Female,Married,Life Sciences,Research & Development,1,3038,3,No,3,12,5,1,0,No
75,98,31,Female,Single,Life Sciences,Research & Development,2,4424,1,No,4,23,11,11,7,No
76,100,35,Male,Single,Marketing,Sales,2,4312,0,No,3,14,16,15,13,No
77,101,45,Male,Married,Other,Research & Development,3,13245,4,Yes,3,14,17,0,0,No
78,102,37,Male,Single,Medical,Research & Development,3,13664,4,No,3,13,16,5,2,No
79,103,46,Male,Divorced,Medical,Human Resources,2,5021,8,Yes,4,22,16,4,2,No
80,104,30,Male,Married,Life Sciences,Research & Development,2,5126,1,Yes,3,12,10,10,8,No
81,105,35,Male,Single,Medical,Research & Development,1,2859,1,No,3,18,6,6,4,No
82,106,55,Male,Married,Life Sciences,Sales,3,10239,3,No,3,14,24,1,0,No
83,107,38,Female,Divorced,Medical,Research & Development,2,5329,7,Yes,3,12,17,13,11,No
84,110,34,Male,Married,Medical,Research & Development,2,4325,1,No,3,15,5,5,2,No
85,112,56,Male,Single,Life Sciences,Research & Development,3,7260,4,No,3,11,37,6,4,No
86,113,23,Male,Divorced,Technical Degree,Sales,1,2322,3,No,3,13,3,0,0,No
87,116,51,Male,Married,Life Sciences,Research & Development,1,2075,3,No,4,23,10,4,2,No
88,117,30,Male,Married,Life Sciences,Research & Development,2,4152,1,No,3,19,11,11,10,No
89,118,46,Male,Single,Medical,Sales,3,9619,1,No,3,16,9,9,8,Yes
90,119,40,Male,Married,Life Sciences,Research & Development,4,13503,1,No,4,22,22,22,3,No
91,120,51,Male,Single,Marketing,Sales,2,5441,0,Yes,4,22,11,10,7,No
92,121,30,Female,Divorced,Medical,Sales,2,5209,1,Yes,3,12,11,11,8,No
93,124,46,Male,Married,Medical,Research & Development,3,10673,2,Yes,3,13,21,10,9,No
94,125,32,Male,Single,Medical,Sales,2,5010,1,No,3,16,12,11,8,No
95,126,54,Female,Married,Technical Degree,Research & Development,3,13549,9,No,3,12,16,4,3,No
96,128,24,Female,Married,Other,Sales,2,4999,0,No,4,21,4,3,2,No
97,129,28,Male,Married,Medical,Sales,2,4221,1,No,3,15,5,5,4,No
98,131,58,Male,Single,Medical,Sales,4,13872,0,No,3,13,38,37,10,No
99,132,44,Male,Married,Medical,Research & Development,2,2042,4,No,3,12,17,3,2,No
100,133,37,Male,Divorced,Human Resources,Human Resources,1,2073,4,Yes,4,22,7,3,2,Yes
101,134,32,Male,Single,Life Sciences,Research & Development,1,2956,1,No,3,13,1,1,0,No
102,137,20,Female,Single,Life Sciences,Research & Development,1,2926,1,Yes,3,18,1,1,0,Yes
103,138,34,Female,Single,Other,Research & Development,2,4809,1,No,3,14,16,16,13,No
104,139,37,Male,Divorced,Life Sciences,Research & Development,2,5163,5,No,3,14,17,1,0,No
105,140,59,Female,Married,Human Resources,Human Resources,5,18844,9,No,4,21,30,3,2,No
106,141,50,Female,Married,Life Sciences,Research & Development,5,18172,3,Yes,3,19,28,8,3,No
107,142,25,Male,Single,Marketing,Sales,2,5744,1,Yes,3,11,6,6,4,Yes
108,143,25,Male,Married,Medical,Research & Development,1,2889,1,No,3,11,2,2,2,No
109,144,22,Female,Single,Medical,Research & Development,1,2871,1,No,3,15,1,0,0,No
110,145,51,Female,Single,Medical,Research & Development,3,7484,3,No,4,20,23,13,12,No
111,147,34,Male,Single,Life Sciences,Research & Development,2,6074,1,Yes,4,24,9,9,7,Yes
112,148,54,Female,Single,Human Resources,Human Resources,4,17328,2,Yes,3,12,23,5,3,No
113,150,24,Male,Married,Life Sciences,Research & Development,1,2774,0,No,3,12,6,5,3,No
114,151,34,Female,Divorced,Life Sciences,Research & Development,2,4505,6,No,3,15,12,1,0,No
115,152,37,Male,Single,Life Sciences,Sales,3,7428,2,No,3,12,12,5,3,No
116,153,34,Female,Single,Medical,Research & Development,3,11631,2,No,3,12,14,11,10,No
117,154,36,Female,Married,Technical Degree,Sales,3,9738,0,No,3,14,10,9,7,No
118,155,36,Female,Divorced,Life Sciences,Research & Development,1,2835,5,No,4,22,7,1,0,No
119,158,43,Male,Married,Life Sciences,Sales,4,16959,1,Yes,3,12,25,25,12,No
120,159,30,Male,Divorced,Life Sciences,Research & Development,1,2613,1,No,4,25,10,10,7,No
121,160,33,Male,Married,Marketing,Sales,2,6146,0,No,3,13,8,7,7,No
122,161,56,Female,Married,Life Sciences,Research & Development,1,4963,9,Yes,3,18,7,5,4,Yes
123,162,51,Male,Single,Life Sciences,Research & Development,5,19537,7,No,3,13,23,20,18,No
124,163,31,Male,Married,Life Sciences,Sales,2,6172,4,Yes,3,18,12,7,7,Yes
125,164,26,Female,Married,Other,Research & Development,1,2368,1,No,3,19,5,5,4,No
126,165,58,Female,Married,Medical,Research & Development,3,10312,1,No,3,12,40,40,10,Yes
127,167,19,Male,Single,Marketing,Sales,1,1675,1,Yes,3,19,0,0,0,Yes
128,169,22,Male,Married,Technical Degree,Research & Development,1,2523,0,No,3,14,3,2,1,No
129,170,49,Female,Married,Medical,Research & Development,2,6567,1,No,3,14,16,15,11,No
130,171,43,Female,Single,Medical,Research & Development,1,4739,4,No,3,12,18,3,2,No
131,174,50,Female,Single,Marketing,Sales,3,9208,4,No,3,11,16,2,2,No
132,175,31,Female,Married,Life Sciences,Sales,2,4559,3,Yes,3,11,4,2,2,Yes
133,176,41,Male,Divorced,Life Sciences,Sales,3,8189,3,Yes,3,13,12,9,7,No
134,177,26,Female,Married,Life Sciences,Human Resources,1,2942,1,No,4,23,8,8,7,No
135,178,36,Male,Divorced,Medical,Research & Development,2,4941,6,No,4,20,7,3,2,No
136,179,51,Male,Single,Life Sciences,Research & Development,3,10650,2,No,3,15,18,4,2,Yes
137,182,39,Female,Married,Life Sciences,Sales,2,5902,4,No,3,14,17,15,11,No
138,183,25,Male,Married,Life Sciences,Sales,2,8639,2,No,3,18,6,2,2,No
139,184,30,Male,Married,Human Resources,Human Resources,2,6347,0,Yes,3,19,12,11,9,No
140,190,32,Female,Single,Medical,Research & Development,1,4200,7,No,4,22,10,5,4,Yes
141,192,45,Male,Single,Medical,Research & Development,1,3452,5,No,3,13,9,6,5,No
142,193,38,Female,Single,Technical Degree,Research & Development,2,4317,3,Yes,4,20,19,3,2,No
143,194,30,Female,Single,Life Sciences,Research & Development,1,2632,1,No,3,14,5,5,4,No
144,195,32,Male,Divorced,Medical,Sales,2,4668,0,No,3,17,9,8,7,No
145,197,30,Female,Divorced,Technical Degree,Research & Development,1,3204,5,No,3,14,8,3,2,No
146,198,30,Male,Single,Medical,Research & Development,1,2720,0,No,3,13,6,5,3,No
147,199,41,Male,Divorced,Life Sciences,Research & Development,4,17181,4,No,3,13,21,7,6,No
148,200,41,Male,Married,Life Sciences,Research & Development,1,2238,2,No,4,21,7,5,0,No
149,201,19,Female,Single,Medical,Research & Development,1,1483,1,No,3,14,1,1,0,No
150,202,40,Female,Divorced,Medical,Research & Development,2,5605,1,No,3,11,20,20,7,No
151,204,35,Male,Married,Marketing,Sales,3,7295,1,No,3,13,10,10,8,No
152,205,53,Male,Married,Marketing,Sales,2,2306,2,Yes,4,20,13,7,7,No
153,206,45,Male,Divorced,Life Sciences,Research & Development,2,2348,8,No,3,18,20,17,9,No
154,207,32,Female,Single,Marketing,Sales,3,8998,1,No,3,14,9,9,8,No
155,208,29,Male,Married,Technical Degree,Research & Development,2,4319,1,No,3,13,10,10,7,No
156,211,51,Male,Married,Medical,Research & Development,2,6132,2,No,3,17,10,1,0,No
157,214,58,Female,Married,Medical,Research & Development,1,3346,4,Yes,4,20,9,1,0,No
158,215,40,Male,Married,Marketing,Sales,3,10855,7,No,3,11,15,12,11,No
159,216,34,Female,Married,Marketing,Sales,1,2231,6,No,3,18,6,4,3,No
160,217,22,Male,Married,Medical,Research & Development,1,2323,1,No,4,24,2,2,2,No
161,218,27,Male,Divorced,Medical,Research & Development,1,2024,6,No,3,18,6,2,2,No
162,221,28,Male,Married,Medical,Research & Development,1,2713,1,No,3,11,5,5,2,No
163,223,57,Male,Divorced,Life Sciences,Research & Development,3,9439,3,Yes,3,16,12,5,3,No
164,224,27,Male,Divorced,Medical,Research & Development,1,2566,1,Yes,3,15,1,1,1,No
165,226,50,Female,Single,Life Sciences,Research & Development,5,19926,3,No,3,15,21,5,4,No
166,227,41,Male,Divorced,Life Sciences,Research & Development,1,2451,4,No,3,12,13,9,8,No
167,228,30,Female,Married,Life Sciences,Sales,3,9419,2,No,3,12,12,10,9,No
168,230,38,Female,Single,Life Sciences,Sales,2,8686,4,No,4,22,12,8,3,No
169,231,32,Male,Single,Life Sciences,Research & Development,1,3038,3,No,4,20,8,5,4,No
170,233,27,Male,Married,Technical Degree,Research & Development,1,3058,0,Yes,3,16,6,5,2,No
171,235,19,Female,Single,Technical Degree,Sales,1,2325,0,No,4,21,1,0,0,Yes
172,238,36,Male,Single,Medical,Research & Development,1,2088,4,No,3,12,13,8,7,No
173,239,30,Male,Divorced,Medical,Research & Development,2,3072,1,No,3,11,12,12,9,No
174,240,45,Female,Divorced,Life Sciences,Sales,2,5006,4,Yes,3,11,9,5,4,No
175,241,56,Female,Divorced,Life Sciences,Research & Development,1,4257,4,Yes,3,18,19,2,2,No
176,242,33,Male,Single,Life Sciences,Research & Development,1,2500,0,No,3,14,4,3,1,No
177,243,19,Male,Single,Life Sciences,Research & Development,1,1102,1,No,4,22,1,1,0,Yes
178,244,46,Female,Divorced,Marketing,Sales,3,10453,1,No,4,25,24,24,13,No
179,245,38,Female,Single,Life Sciences,Research & Development,1,2288,1,No,3,12,2,2,2,No
180,246,31,Female,Married,Medical,Research & Development,1,3929,8,Yes,4,23,7,4,2,No
181,247,34,Female,Single,Medical,Research & Development,1,2311,2,No,3,15,9,3,2,No
182,248,41,Female,Single,Marketing,Sales,1,3140,1,Yes,4,22,4,4,3,Yes
183,249,50,Male,Married,Medical,Research & Development,1,3690,2,No,3,15,5,3,2,No
184,250,53,Female,Divorced,Medical,Research & Development,2,4450,1,No,3,11,5,4,2,No
185,252,33,Female,Married,Medical,Research & Development,1,2756,1,No,3,13,8,8,7,No
186,253,40,Female,Married,Medical,Research & Development,5,19033,1,No,3,14,21,20,8,No
187,254,55,Male,Single,Medical,Research & Development,5,18722,8,No,3,11,36,24,15,No
188,256,34,Male,Married,Life Sciences,Research & Development,2,9547,1,No,3,17,10,10,9,No
189,258,51,Female,Single,Medical,Research & Development,4,13734,3,No,3,18,21,7,7,No
190,259,52,Male,Married,Life Sciences,Research & Development,5,19999,0,No,3,14,34,33,18,No
191,260,27,Female,Single,Medical,Research & Development,1,2279,1,No,3,16,7,7,7,No
192,261,35,Male,Married,Life Sciences,Research & Development,2,5916,3,Yes,3,13,8,1,0,Yes
193,262,43,Male,Divorced,Medical,Research & Development,1,2089,4,No,3,14,7,5,4,No
194,264,45,Male,Married,Medical,Research & Development,4,16792,9,No,4,23,22,20,8,No
195,267,37,Male,Married,Life Sciences,Research & Development,1,3564,1,Yes,3,12,8,8,7,No
196,269,35,Female,Single,Medical,Research & Development,2,4425,5,No,3,11,10,6,2,No
197,270,42,Female,Divorced,Medical,Research & Development,2,5265,2,No,3,16,11,5,3,No
198,271,38,Male,Married,Life Sciences,Research & Development,2,6553,9,No,3,14,14,1,0,No
199,273,38,Male,Married,Technical Degree,Research & Development,2,6261,3,No,3,18,9,7,7,No
200,274,27,Male,Married,Technical Degree,Research & Development,2,4298,5,No,3,19,6,2,2,No
201,275,49,Male,Divorced,Life Sciences,Research & Development,2,6804,1,Yes,3,15,7,7,7,No
202,277,34,Male,Divorced,Medical,Research & Development,1,3815,1,Yes,3,17,5,5,3,No
203,281,40,Male,Married,Medical,Research & Development,2,2741,8,Yes,3,15,15,7,2,No
204,282,38,Male,Married,Medical,Research & Development,2,6673,7,Yes,3,19,17,1,0,Yes
205,283,29,Female,Married,Marketing,Sales,3,7639,1,No,4,22,10,10,4,Yes
206,284,22,Male,Divorced,Life Sciences,Research & Development,1,2328,1,Yes,3,16,4,4,2,No
207,286,36,Female,Single,Medical,Research & Development,1,2153,1,No,3,13,8,8,1,No
208,287,40,Male,Married,Life Sciences,Research & Development,2,4876,9,No,3,14,5,3,2,No
209,288,46,Male,Divorced,Medical,Research & Development,3,9396,7,No,3,16,17,4,2,No
210,291,32,Male,Married,Medical,Sales,3,10400,1,No,3,11,14,14,8,Yes
211,292,30,Male,Single,Life Sciences,Research & Development,3,8474,1,No,4,22,12,11,8,No
212,293,27,Female,Single,Life Sciences,Sales,2,9981,1,No,3,14,7,7,7,No
213,296,51,Male,Married,Life Sciences,Research & Development,3,12490,5,No,3,16,16,10,9,No
214,297,30,Female,Single,Technical Degree,Research & Development,1,2657,5,Yes,3,11,8,5,2,Yes
215,298,41,Female,Single,Life Sciences,Sales,3,13591,3,Yes,3,18,16,1,0,No
216,299,30,Female,Single,Marketing,Sales,2,6696,5,No,3,15,9,6,3,Yes
217,300,29,Male,Single,Technical Degree,Research & Development,1,2058,0,No,3,14,7,6,2,Yes
218,302,45,Female,Single,Medical,Sales,3,8865,6,No,3,12,23,19,7,No
219,303,54,Female,Married,Marketing,Sales,2,5940,2,No,3,14,16,6,2,No
220,304,36,Male,Single,Life Sciences,Research & Development,2,5914,8,No,3,16,16,13,11,No
221,305,33,Female,Married,Medical,Research & Development,1,2622,6,No,4,21,7,3,2,No
222,306,37,Male,Divorced,Other,Research & Development,3,12185,1,Yes,3,14,10,10,8,No
223,307,38,Male,Divorced,Life Sciences,Sales,3,10609,0,No,3,12,17,16,10,No
224,308,31,Male,Married,Medical,Research & Development,2,4345,0,No,3,12,6,5,4,No
225,309,59,Male,Married,Life Sciences,Research & Development,1,2177,3,No,3,17,7,1,0,No
226,311,37,Male,Divorced,Marketing,Sales,1,2793,4,No,3,17,13,9,8,No
227,312,29,Female,Married,Medical,Sales,3,7918,1,No,3,14,11,11,10,No
228,314,35,Female,Single,Marketing,Sales,3,8789,1,No,3,14,10,10,7,No
229,315,29,Male,Single,Medical,Research & Development,1,2389,1,Yes,3,13,4,4,3,Yes
230,316,52,Female,Single,Life Sciences,Research & Development,1,3212,7,No,3,15,6,2,2,No
231,319,42,Male,Married,Technical Degree,Research & Development,5,19232,1,No,3,11,22,22,17,No
232,321,59,Male,Married,Medical,Human Resources,1,2267,8,No,3,17,7,2,2,No
233,323,50,Female,Divorced,Medical,Sales,5,19517,3,No,3,11,32,7,0,No
234,325,33,Male,Married,Medical,Research & Development,1,2436,5,Yes,3,13,8,5,4,Yes
235,327,43,Female,Married,Marketing,Sales,4,16064,5,Yes,4,22,22,17,13,No
236,328,33,Female,Married,Life Sciences,Research & Development,1,2707,7,No,4,20,13,9,7,Yes
237,329,52,Male,Single,Life Sciences,Sales,5,19068,1,Yes,3,18,33,33,7,No
238,330,32,Female,Married,Life Sciences,Sales,1,3931,2,No,3,11,6,4,3,No
239,331,32,Male,Single,Life Sciences,Research & Development,1,3730,0,Yes,3,14,4,3,2,Yes
240,332,39,Female,Divorced,Medical,Research & Development,1,2232,7,No,3,14,7,3,2,No
241,333,32,Male,Married,Marketing,Sales,2,4465,0,No,3,18,4,3,2,No
242,334,41,Male,Divorced,Life Sciences,Research & Development,2,3072,2,No,3,16,17,1,0,No
243,335,40,Male,Divorced,Technical Degree,Research & Development,2,3319,1,No,3,17,9,9,8,No
244,336,45,Male,Married,Other,Research & Development,5,19202,0,No,3,11,25,24,0,No
245,337,31,Male,Divorced,Medical,Research & Development,3,13675,9,No,3,12,9,2,2,No
246,338,33,Female,Married,Life Sciences,Research & Development,1,2911,1,No,3,13,2,2,2,No
247,339,34,Male,Married,Life Sciences,Research & Development,2,5957,6,No,3,13,13,11,9,No
248,340,37,Female,Married,Medical,Research & Development,1,3920,2,No,3,14,17,3,1,No
249,341,45,Male,Married,Life Sciences,Research & Development,2,6434,4,No,3,17,9,3,2,No
250,342,37,Male,Divorced,Medical,Research & Development,3,10048,6,No,3,11,17,1,0,Yes
251,343,39,Female,Single,Technical Degree,Research & Development,3,10938,0,No,4,25,20,19,6,No
252,346,29,Male,Single,Life Sciences,Research & Development,1,2340,1,No,3,19,6,6,5,No
253,347,42,Female,Single,Life Sciences,Research & Development,2,6545,3,Yes,3,13,10,3,2,No
254,349,29,Male,Divorced,Marketing,Sales,2,6931,2,No,3,14,10,3,2,No
255,350,25,Female,Married,Life Sciences,Research & Development,2,4898,0,No,3,12,5,4,2,No
256,351,42,Female,Divorced,Medical,Research & Development,1,2593,0,Yes,3,11,10,9,6,No
257,352,40,Male,Divorced,Medical,Research & Development,5,19436,0,No,3,19,22,21,7,No
258,353,51,Male,Married,Life Sciences,Research & Development,1,2723,1,No,3,11,1,1,0,No
259,355,31,Male,Single,Medical,Research & Development,1,3479,0,No,3,11,6,5,4,Yes
260,359,32,Male,Married,Life Sciences,Research & Development,1,2794,1,No,4,20,5,5,1,No
261,361,38,Male,Married,Life Sciences,Sales,2,5249,3,No,3,18,13,8,7,No
262,362,32,Male,Single,Technical Degree,Research & Development,2,2176,4,No,3,13,9,6,2,No
263,363,46,Female,Married,Technical Degree,Sales,4,16872,3,Yes,3,12,28,7,7,No
264,364,28,Male,Single,Life Sciences,Research & Development,1,3485,2,No,3,11,5,0,0,Yes
265,366,29,Male,Married,Medical,Sales,2,6644,2,No,3,19,10,0,0,No
266,367,31,Male,Married,Medical,Research & Development,2,5582,0,No,4,21,10,9,0,No
267,369,25,Male,Divorced,Life Sciences,Research & Development,2,4000,1,No,3,12,6,6,3,No
268,372,45,Male,Married,Medical,Research & Development,4,13496,0,Yes,3,14,21,20,7,No
269,373,36,Male,Married,Life Sciences,Research & Development,1,3210,0,No,3,11,16,15,13,No
270,374,55,Male,Single,Medical,Research & Development,5,19045,0,Yes,3,14,37,36,10,No
271,376,47,Male,Married,Life Sciences,Research & Development,3,11849,1,Yes,3,12,10,10,7,Yes
272,377,28,Male,Married,Medical,Research & Development,1,2070,1,No,4,23,5,5,2,No
273,378,37,Male,Married,Medical,Sales,2,6502,4,No,3,14,7,5,4,No
274,379,21,Male,Single,Medical,Research & Development,1,3230,1,No,3,17,3,3,2,No
275,380,37,Female,Divorced,Medical,Research & Development,3,13603,2,Yes,3,18,15,5,2,No
276,381,35,Female,Divorced,Life Sciences,Research & Development,3,11996,7,No,3,18,10,7,7,No
277,382,38,Female,Divorced,Medical,Sales,2,5605,1,Yes,4,24,8,8,0,No
278,384,26,Female,Divorced,Life Sciences,Research & Development,2,6397,1,No,4,20,6,6,5,No
279,385,50,Male,Divorced,Life Sciences,Research & Development,5,19144,3,No,3,14,28,10,4,No
280,386,53,Male,Married,Medical,Research & Development,4,17584,3,Yes,3,16,21,5,3,No
281,387,42,Male,Married,Life Sciences,Sales,2,4907,1,No,4,25,20,20,16,No
282,388,29,Male,Single,Life Sciences,Sales,2,4554,1,No,3,18,10,10,7,No
283,389,55,Male,Married,Technical Degree,Research & Development,2,5415,3,Yes,3,19,12,10,7,No
284,390,26,Male,Married,Medical,Research & Development,2,4741,1,Yes,3,13,5,5,3,No
285,391,37,Female,Single,Life Sciences,Research & Development,1,2115,1,No,3,12,17,17,12,No
286,392,44,Male,Divorced,Life Sciences,Research & Development,1,3161,3,Yes,4,22,19,1,0,Yes
287,393,38,Male,Divorced,Life Sciences,Research & Development,2,5745,9,No,3,14,10,2,2,No
288,394,26,Male,Divorced,Medical,Research & Development,1,2373,2,Yes,3,13,5,3,2,Yes
289,395,28,Female,Single,Life Sciences,Research & Development,1,3310,1,No,4,21,5,5,3,No
290,396,49,Female,Single,Life Sciences,Research & Development,5,18665,9,Yes,3,11,22,3,2,No
291,397,36,Male,Single,Technical Degree,Research & Development,2,4485,4,No,3,12,10,8,0,No
292,399,31,Female,Divorced,Marketing,Sales,1,2789,1,No,3,11,2,2,2,No
293,401,26,Male,Single,Marketing,Sales,2,5828,1,Yes,3,12,8,8,7,Yes
294,403,37,Male,Married,Medical,Research & Development,1,2326,1,Yes,3,12,4,4,2,No
295,404,42,Female,Married,Marketing,Sales,4,13525,5,No,3,14,23,20,4,No
296,405,18,Male,Single,Life Sciences,Research & Development,1,1420,1,No,3,13,0,0,0,Yes
297,406,35,Male,Married,Marketing,Sales,3,8020,0,No,3,15,12,11,9,No
298,407,36,Male,Married,Life Sciences,Research & Development,1,3688,4,No,3,18,4,1,0,No
299,408,51,Male,Divorced,Medical,Research & Development,2,5482,5,No,3,18,13,4,1,No
300,410,41,Male,Single,Life Sciences,Sales,4,16015,1,No,3,19,22,22,10,No
301,411,18,Female,Single,Medical,Sales,1,1200,1,No,3,12,0,0,0,No
302,412,28,Male,Single,Medical,Research & Development,2,5661,0,No,3,19,9,8,3,No
